"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.540360372637162","0.514329439581469","0.506852847504337","0.509940136766107","0.504868725237149","0.496166411091994","0.479418406721618","0.472672151283761","0.470916864066681","0.433757394040125","0.415454695607106","0.432472268175771","0.421552467857171","0.422043253506238","0.417280546391624","0.381788821146083","0.35246295667647","0.336047117203019","0.337044457070851","0.321161491732785","0.318556134737046","0.296043298666786","0.307800541991289","0.299717635166641","0.291419162638447","0.273836850011599","0.261376542297855","0.256063559301309","0.246606995654454","0.241603509209771","0.218651760803965","","",
"Afghanistan","AFG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0708397685575003","0.075212832469166","0.0564582592770085","0.0747078860424511","0.0800762413062875","0.0854192237631324","0.123912643171452","0.152037294163669","0.17176522247664","0.233702865903674","0.171085011792157","0.144558321172312","0.134398532318261","0.14001604386586","0.132599158642522","0.134152349586293","0.141729244815793","0.1372441384137","0.107514384822841","","",
"Africa Western and Central","AFW","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.268746923280145","0.291992053521982","0.30622962401419","0.285769382829597","0.258555648999697","0.271224541861003","0.2939288939597","0.277019680382303","0.254847178008191","0.252127585473435","0.253644251458454","0.247905172362785","0.209308655539857","0.207905929033608","0.189657356308435","0.176447519688324","0.154164603492222","0.13806983033308","0.134198768978666","0.121265796700198","0.126033385819458","0.122033312954442","0.118882711350515","0.121843141338904","0.119054446226442","0.116554664556301","0.119729454438386","0.114726181222977","0.114210904586246","0.114934608190311","0.110729720130108","","",
"Angola","AGO","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.16902602630833","0.164612332421152","0.176116939021564","0.305046715333946","0.359216699758599","0.344433246028564","0.361663790607409","0.346715803880546","0.339920423686867","0.344578056294016","0.300800495507203","0.277974369925948","0.236780946513569","0.240909107517788","0.220144606689213","0.168099801654164","0.15309410853755","0.133967820301793","0.134330219077202","0.145173234956264","0.148170019937672","0.14683139218492","0.128236935679169","0.134884113552345","0.134370380223405","0.154683993578315","0.144091503588157","0.114982838140276","0.107301591345569","0.109504161632798","0.0930897217031407","","",
"Albania","ALB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.723222973762456","0.660473354075086","0.378197059492736","0.312976093884813","0.283797948632328","0.229571064265865","0.208428975002067","0.172879141028748","0.190920275294433","0.276611373772906","0.267153219819628","0.245770607401349","0.264512982728677","0.272215659440887","0.263081331579549","0.231888260062763","0.207747433744647","0.196838458850993","0.173577479337775","0.16929953920455","0.170612624048244","0.173212792125493","0.148764719509506","0.156693374543419","0.159486988998887","0.142827921207983","0.131642418893605","0.147251518374678","0.137398670711595","0.121428314772628","0.109710417450174","","",
"Andorra","AND","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.417360539229715","0.376658286079619","0.380835785144562","0.389421103291371","0.39267718260611","0.386010890956933","0.375306274088427","0.370491344559455","0.34908797615776","0.341860606392155","0.326288383527727","0.331222080498911","0.336043772012639","0.325871790284631","0.30634568585414","0.301057068626222","0.290749587721194","0.282445521586278","0.283638378505467","0.290131233996733","0.290155434695674","0.279649332717318","0.276015162788629","0.276073551011063","0.283945540313217","0.314371976823861","0.320788154382321","0.303181361881063","0.285615055802838","0.279096707513633","0.276030207529113","","",
"United Arab Emirates","ARE","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.334541140182309","0.357760945299047","0.328234905768678","0.337417745522707","0.34382902870306","0.335221797209598","0.325067816224941","0.306320703418377","0.309478835422199","0.304496934163556","0.265620404049727","0.293879690422281","0.288162337061392","0.271972516337513","0.256143035447169","0.250734807080832","0.231159823730533","0.236557719663277","0.266237877281044","0.280924531758509","0.283247407011955","0.267409531375513","0.270870862631187","0.278524956408838","0.2678546592899","0.314386059739186","0.323594286907848","0.297341851551995","0.260144326764613","0.269334258216135","0.283412504066574","","",
"Argentina","ARG","CO2 emissions (kg per PPP $ of GDP)","EN.ATM.CO2E.PP.GD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.427859301008001","0.400370827842409","0.369562720025704","0.340844725007269","0.320044410421854","0.325467582916583","0.328792240642947","0.307685419571058","0.308199379487323","0.318909972217278","0.309098398743112","0.299469331026383","0.310336852519235","0.303881207332858","0.300607089537799","0.276513839985252","0.263431028788317","0.247307122050128","0.239510370829821","0.236825362388163","0.226963218591912","0.221559767294129","0.21709864035685","0.215692383279966","0.213836656948913","0.213970217723077","0.206905788655263","0.172483424864319","0.170672014396088","0.162641532884913","0.163749515118976","","",
